pergunta;resposta_esperada;resposta_usuario;pontuacao
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Napoleão Bonaparte unificou a Alemanha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Hitler unificou a Alemanha no século 20;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);A Alemanha se unificou sozinha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Um grupo de líderes alemães liderou a unificação;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Foi no século 19, mas não lembro quem liderou;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Oto von bismack ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck, um chanceler prussiano;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck liderou o processo de unificação;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von Bismarck foi o responsável pela unificação da Alemanha;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);A unificação foi liderada por Otto von Bismarck no século XIX;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto Von Bismark ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);algum  alemão ai;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);seu nome era Otto Bismarck,  no século 19 ;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Otto von bismarck unificou a alemanha;1
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);o primeiro rei Alemão;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);um general da alemanha em 1903;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);o presidente da alemanha;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);alguem importante;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);não sei, um alemão talvez.;0
Quem foi o responsável pela unificação da Alemanha?;Otto von Bismarck liderou a unificação da Alemanha no século XIX(19);Angela Merkel unificou a alemanha;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Começou 1789 e terminou em 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;No final do século 18, de 1789 á 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Começou no ano de 1789 e foi até 1799 ;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;no século 15.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;No século XXI.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Durante a Segunda Guerra Mundial.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Por volta de 1900.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Entre 1800 e 1850.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;em 1789 a 1799  no final do século XVIII.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;5 de maio de 1789 a  9 de novembro de 1799;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Entre 1789 e 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Começou em 1789 e terminou em 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;A Revolução Francesa aconteceu entre 1789 e 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;Em 1789, iniciou-se a Revolução Francesa.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;de 1789 á 1799.;1
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;não sei.;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;entre o fim da primeira guerra e o começo da segunda;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;no século 20;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;de 1780 a 1789;0
Em que período ocorreu a Revolução Francesa?;A Revolução Francesa aconteceu entre 1789 e 1799;ná Belle époque;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;uma figura historica brasileira.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;foi um heroi do inconfidencia mineira;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;foi um artista famoso.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Foi um mártir brasileiro da inconfidência mineira.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;foi um brasileiro que liderou uma revolta contra portugal;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Um imperador do Brasil.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Um rei português.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Foi um político famoso do século XX.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Era apenas um dentista conhecido.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Participou de movimentos contra a monarquia.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;foi o lider da inconfidencia mineira;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Foi um dos líderes da Inconfidência Mineira.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Participou da Inconfidência Mineira e foi executado.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Tiradentes foi um dos líderes da Inconfidência Mineira.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;Líder revolucionário brasileiro enforcado em 1792.;1
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;foi um politico brasileiro na ditadura.;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;um personagem do folclore Brasileiro;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;o presidente do brasil em 1930;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;o primeiro dentista do mundo;0
Quem foi Tiradentes?;Tiradentes foi um dos líderes da Inconfidência Mineira;um feriado nacional do Brasil;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;um atentado a bomba na europa a Francisco ferdinando.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a morte de francisco ferdinando.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;Foi uma guerra na Antártica.;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;Napoleão causou a Primeira Guerra Mundial.;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;Começou por disputas territoriais sem motivo específico.;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;Foi uma briga entre Alemanha e URSS.;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;o atentado a Francisco Ferdinando.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a morte do herdeiro da austria-hungria.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;O assassinato do herdeiro da austria Francisco ferdinando.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;A morte de um arquiduque austríaco causou o conflito.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;O assassinato do arquiduque Francisco Ferdinando em Sarajevo.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;O atentado contra Francisco Ferdinando em 1914.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;o assassinato de francisco ferdinando em 1914;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;morte de francisco ferdinando em 1914.;1
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a invasão da frança;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a invasão da polonia pela alemanha;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a ameaça a um lider da europa;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;o fim da monarquia britanica;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;o disparo da bomba atomica no japão;0
Qual foi o estopim da Primeira Guerra Mundial?;O assassinato do arquiduque Francisco Ferdinando em 1914.;a guerra do paraguai;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;foi um acordo de paz em 1919;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;o tratado do fim da primeira guerra;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;um acordo entre Alemanha e união sovietica de não agressão.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;um acordo de paz que acabou com a 1ª guerra;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;tratado de rendição da alemanha na primeira guerra;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Foi um acordo entre Napoleão e Hitler.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Um tratado da Revolução Francesa.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Foi uma reunião de paz durante a Guerra Fria.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Tratado assinado entre URSS e Alemanha.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Um tratado europeu  que pos fim a Primeira Guerra.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Tratado que encerrou a guerra em 1919.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Tratado de paz após a Primeira Guerra Mundial.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Acordo que impôs sanções à Alemanha após a guerra.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Documento que pôs fim à Primeira Guerra Mundial, assinado em 1919.;1
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;um acordo entre Espanha e Portugual que dividia o mundo entre eles;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;Um acordo comercial entre Estados unido e União sovietica.;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;um documento da Onu;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;foi a carta de independência do Brasil;0
O que foi o Tratado de Versalhes?;Tratado que encerrou oficialmente a Primeira Guerra Mundial em 1919.;foi a primeira carta do mundo;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Uma guerra entre França e Alemanha.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Foi um conflito militar global.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Guerra entre Rússia e EUA na Segunda Guerra.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Conflito entre EUA e URSS com batalhas diretas.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Conflito ideológico no século 20 entre Estados unidos e uniao sovietica;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Disputa geopolítica entre duas potências do mundo;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Conflito entre capitalismo e comunismo.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Disputa ideológica entre EUA e URSS.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Período de tensão entre EUA e URSS, sem confronto direto, após a Segunda Guerra.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;uma guerra ideologica, sem o uso de violencia.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Guerra entre o oriente e ocidente.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;Foi uma guerra entre os paises comunistas e paises captalistas.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;foi um conflito depois da segunda guerra.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;uma briga cultural e politica entre comunismo e EUA.;1
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;foi a guerra de independência do Estados unidos.;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;foi uma guerra no inverno;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;foi um conflito entre paises gelados;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;foi a guerra contra o terrorismo nos EUA;0
O que foi a Guerra Fria?;Conflito ideológico entre Estados Unidos e União Soviética após a Segunda Guerra Mundial.;não sei;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Foi o  presidente do Brasil.;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;General do exército brasileiro na ditadura.;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Um político do século XX.;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Líder militar da independência.;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Foi o segundo governante do imperio Brasileiro;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Monarca que governou o Brasil.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Dom Pedro II foi imperador por muitos anos.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Foi Último imperador do Brasil.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Dom Pedro II foi o segundo e último imperador do Brasil.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Segundo imperador do Brasil, governou de 1831 a 1889.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;foi um pricipe da europa.;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;Foi o imperador do Brasil.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;foi o segundo imperador;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;um lider e politico do imperio brasileiro.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;foi um monarca brasileiro.;1
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;foi o primeiro rei do Brasil;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;foi um escravo famoso;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;ele foi um personagem folclorico Brasileiro;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;era um cantor importante do século 20;0
Quem foi Dom Pedro II?;Dom Pedro II foi o segundo e último imperador do Brasil.;um personagem de uma novela.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Um regime militar europeu.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Uma guerra na Europa.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento político do século XIX.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Corrente religiosa francesa.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento intelectual contra o absolutismo.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Ideias filosóficas que valorizavam a razão.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento do século XVIII que valorizava ciência e razão.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Corrente filosófica que criticava o absolutismo.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento intelectual do século 18 que valorizava a razão e a ciência.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Corrente filosófica do século XVIII baseada na razão e no conhecimento.;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Foi uma estilo artistico do século 16;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;movimento filosófico do século 18;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento e intelectual do século 18 que críticava o absolutismo e o mercantilismo;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento filosófico e intelectual. ;1
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;Movimento político do século 18.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;foi quando inventaram a luz;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;a descoberta do fogo.;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;foi a descoberta da lampada;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;foi uma corrente artistica liderado por Van Gogh;0
O que foi o Iluminismo?;Movimento intelectual do século XVIII que valorizava a razão e a ciência.;nao sei.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Em 1500 com a chegada dos portugueses.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Durante a proclamação da República.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Por volta de 1800.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Entre 1808 e 1810.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;7 de setembro de 1822;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;No início do século XIX, dia 7 de setembro.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Em 07/09/1822, com Dom Pedro I.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;A independência foi proclamada em 1822.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;A independência do Brasil foi proclamada em 7 de Setembro de 1822.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;Dom Pedro I proclamou a independência do Brasil em 1822.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;1833, com Barechal Teodoro.;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;em 1822, com o grito do ipiranga.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;dia 7 de setembro de mil oitocentos e vinte e dois.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;no inicio do primeiro empério.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;no dia 7 de setembro.;1
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;não sei ;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;no dia 22 de abril de 1889;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;em 1945 com o fim da segunda guerra;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;quando vargas renunciou;0
Quando ocorreu a independência do Brasil?;A independência do Brasil foi proclamada no dia 7 de Setembro 1822.;no movimento das diretas já;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;General francês que virou imperador.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Líder militar e político da França.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Governante francês após a Revolução Francesa.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Um rei inglês do século XVIII.;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Presidente dos EUA durante guerras napoleônicas.;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Imperador da França após a revolução Francesa.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Foi uma figura historica da França.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;O primeiro minisistro da frança.;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Foi um militar que virou imperador da França.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;um monarca na revolução francesa;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Um general da segunda guerra mundial.;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Um lider militar da França;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Foi um figura importante após a revolução francesa.;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;um estrategista militar que nasceu na corsega.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Lider importante do século 19.;1
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;Foi um ator famoso frances;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;um personagem de um jogo de videogame;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;foi o primeiro imperador do imperio espanhol;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;não sei;0
Quem foi Napoleão Bonaparte?;Napoleão Bonaparte foi um general francês que se tornou imperador.;um historiador famoso;0
